prod1_1,category,sbu_name,statename,company_name,distname,prod2,comname,psu_pvt,statecode,orgrocd,dist,productname_org,total,distcode,comcode,code,productcode,zone_name,region_name,newcode,fiscal_year,coname,month_name,netweight_tmt,com_type,productname,prod1,entity_id,updated_at,created_at,ro
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,JAHBUA,LPG,IOCL,PSU,MP,14,JAHBUA,LPG 5 KG FTL Refill,2.315,MP36,1060,LPGMP36,10524,NWZ,WEST,MP36,2022-2023,IOCL,JUN,0.525,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,INDORE
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,JABALPUR,LPG,IOCL,PSU,MP,14,JABALPUR,LPG 5 KG FTL Refill,1.614,MP34,1060,LPGMP34,10524,NWZ,WEST,MP34,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,GUNA,LPG,IOCL,PSU,MP,14,GUNA,LPG 5 KG FTL Refill,3.28,MP26,1060,LPGMP26,10524,NWZ,WEST,MP26,2022-2023,IOCL,JUN,0.35,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,DEWAS,LPG,IOCL,PSU,MP,14,DEWAS,LPG 5 KG FTL Refill,1.775,MP20,1060,LPGMP20,10524,NWZ,WEST,MP20,2022-2023,IOCL,JUN,0.12,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,INDORE
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,DATIA,LPG,IOCL,PSU,MP,14,DATIA,LPG 5 KG FTL Refill,0.335,MP18,1060,LPGMP18,10524,NWZ,WEST,MP18,2022-2023,IOCL,JUN,0.05,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,DAMOH,LPG,IOCL,PSU,MP,14,DAMOH,LPG 5 KG FTL Refill,0.45,MP16,1060,LPGMP16,10524,NWZ,WEST,MP16,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,JABALPUR
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,BHOPAL,LPG,IOCL,PSU,MP,14,BHOPAL,LPG 5 KG FTL Refill,7.313,MP09,1060,LPGMP09,10524,NWZ,WEST,MP09,2022-2023,IOCL,JUN,1.305,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,INDORE
LPG-PKD ND,,LPG,MADHYA PRADESH,MPSU,BURHANPUR,LPG,IOCL,PSU,MP,14,BURHANPUR,LPG 5 KG FTL Refill,2.184,MP03,1060,LPGMP03,10524,NWZ,WEST,MP03,2022-2023,IOCL,JUN,0.17,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,INDORE
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,GONDIA,LPG,IOCL,PSU,MH,14,GONDIA,LPG 5 KG FTL Refill,7.794,MH56,1060,LPGMH56,10524,WZ,WEST,MH56,2022-2023,IOCL,JUN,0.25,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,YAVATMAL,LPG,IOCL,PSU,MH,14,YAVATMAL,LPG 5 KG FTL Refill,17.927,MH52,1060,LPGMH52,10524,WZ,WEST,MH52,2022-2023,IOCL,JUN,1.525,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,THANA,LPG,IOCL,PSU,MH,14,THANA,LPG 5 KG FTL Refill,490.922,MH48,1060,LPGMH48,10524,WZ,WEST,MH48,2022-2023,IOCL,JUN,27.48,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAVI MUMBAI
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,SANGLI,LPG,IOCL,PSU,MH,14,SANGLI,LPG 5 KG FTL Refill,11.182,MH42,1060,LPGMH42,10524,WZ,WEST,MH42,2022-2023,IOCL,JUN,0.82,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,SOLAPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,PUNE,LPG,IOCL,PSU,MH,14,PUNE,LPG 5 KG FTL Refill,15.324,MH38,1060,LPGMH38,10524,WZ,WEST,MH38,2022-2023,IOCL,JUN,1.23,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,PUNE
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,LATUR,LPG,IOCL,PSU,MH,14,LATUR,LPG 5 KG FTL Refill,5.9,MH35,1060,LPGMH35,10524,WZ,WEST,MH35,2022-2023,IOCL,JUN,0.625,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,SOLAPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,NAGPUR,LPG,IOCL,PSU,MH,14,NAGPUR,LPG 5 KG FTL Refill,27.767,MH28,1060,LPGMH28,10524,WZ,WEST,MH28,2022-2023,IOCL,JUN,1.76,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,JALNA,LPG,IOCL,PSU,MH,14,JALNA,LPG 5 KG FTL Refill,17.916,MH23,1060,LPGMH23,10524,WZ,WEST,MH23,2022-2023,IOCL,JUN,1.31,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AURANGABAD
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,JALGAON,LPG,IOCL,PSU,MH,14,JALGAON,LPG 5 KG FTL Refill,5.73,MH22,1060,LPGMH22,10524,WZ,WEST,MH22,2022-2023,IOCL,JUN,0.35,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AURANGABAD
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,GADCHIROLI,LPG,IOCL,PSU,MH,14,GADCHIROLI,LPG 5 KG FTL Refill,0.275,MH17,1060,LPGMH17,10524,WZ,WEST,MH17,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,BHANDARA,LPG,IOCL,PSU,MH,14,BHANDARA,LPG 5 KG FTL Refill,6.413,MH10,1060,LPGMH10,10524,WZ,WEST,MH10,2022-2023,IOCL,JUN,0.52,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,NAGPUR
LPG-PKD ND,,LPG,MAHARASHTRA,MPSU,AHMEDNAGAR,LPG,IOCL,PSU,MH,14,AHMEDNAGAR,LPG 5 KG FTL Refill,1.31,MH02,1060,LPGMH02,10524,WZ,WEST,MH02,2022-2023,IOCL,JUN,0.1,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AURANGABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,NAVSARI,LPG,IOCL,PSU,GJ,14,NAVSARI,LPG 5 KG FTL Refill,7.069,GJ52,1060,LPGGJ52,10524,NWZ,WEST,GJ52,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,HAZIRA
LPG-PKD ND,,LPG,GUJARAT,MPSU,PATAN,LPG,IOCL,PSU,GJ,14,PATAN,LPG 5 KG FTL Refill,8.47,GJ48,1060,LPGGJ48,10524,NWZ,WEST,GJ48,2022-2023,IOCL,JUN,0.215,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,VALSAD,LPG,IOCL,PSU,GJ,14,VALSAD,LPG 5 KG FTL Refill,13.495,GJ40,1060,LPGGJ40,10524,NWZ,WEST,GJ40,2022-2023,IOCL,JUN,0.2,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,HAZIRA
LPG-PKD ND,,LPG,GUJARAT,MPSU,SURENDRANAGAR,LPG,IOCL,PSU,GJ,14,SURENDRANAGAR,LPG 5 KG FTL Refill,10.772,GJ38,1060,LPGGJ38,10524,NWZ,WEST,GJ38,2022-2023,IOCL,JUN,0.345,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,SABARKANTHA,LPG,IOCL,PSU,GJ,14,SABARKANTHA,LPG 5 KG FTL Refill,5.21,GJ34,1060,LPGGJ34,10524,NWZ,WEST,GJ34,2022-2023,IOCL,JUN,0.15,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,KUTCH,LPG,IOCL,PSU,GJ,14,KUTCH,LPG 5 KG FTL Refill,36.427,GJ26,1060,LPGGJ26,10524,NWZ,WEST,GJ26,2022-2023,IOCL,JUN,1.295,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
